Month,ZipCode,ZipName,Footnote,Median_Listing_Price,Median_Listing_Price_M/M,Median_Listing_Price_Y/Y,Active_Listing_Count_,Active_Listing_Count_M/M,Active_Listing_Count_Y/Y,Days_on_Market_,Days_on_Market_M/M,Days_on_Market_Y/Y,New_Listing_Count_,New_Listing_Count_M/M,New_Listing_Count_Y/Y,Price_Increase_Count_,Price_Increase_Count_M/M,Price_Increase_Count_Y/Y,Price_Decrease_Count_,Price_Decrease_Count_M/M,Price_Decrease_Count_Y/Y,Pending_Listing_Count_,Pending_Listing_Count_M/M,Pending_Listing_Count_Y/Y,Avg_Listing_Price,Avg_Listing_Price_M/M,Avg_Listing_Price_Y/Y,Total_Listing_Count,Total_Listing_Count_M/M,Total_Listing_Count_Y/Y,Pending_Ratio,Pending_Ratio_M/M,Pending_Ratio_Y/Y
4/1/19 0:00,21074,"Hampstead, MD",,345025,0.131,-0.0898,44.5,-0.0111,-0.2705,44.5,0.0349,-0.1524,24,0,-0.1429,0,,-1,8,0,-0.3333,0,,-1,384619,0.0705,0.043,44.5,-0.0111,-0.2823,0,0,-0.0164
4/1/19 0:00,21075,"Elkridge, MD",,366900,0.0484,-0.0471,81.5,0.1985,-0.0739,29.25,-0.2095,-0.1761,50,-0.1071,-0.0385,2,,,12,-0.25,-0.4,0,,,397346,0.0256,-0.0899,81.5,0.1985,-0.0739,0,0,0
4/1/19 0:00,21076,"Hanover, MD",*,413292.5,0.0006,,131,0.1909,0.3505,34,-0.3462,0,52,-0.0714,-0.1333,4,0,0,40,0.4286,1.5,0,,,425946,0.0036,-0.0017,131,0.1909,0.3505,0,0,0
4/1/19 0:00,21078,"Havre de Grace, MD",,315050,0,0.05,119.5,0.2713,0.0482,36.25,-0.5881,-0.1944,52,-0.0714,0.4444,0,-1,,28,1.3333,0.4,0,,,344950,0.0121,0.0373,119.5,0.2713,0.0482,0,0,0
4/1/19 0:00,21084,"Jarrettsville, MD",,471050,-0.0504,-0.0509,21.5,-0.0227,-0.4189,47.25,-0.5743,-0.3152,16,1,1,0,,,4,,0,0,,,451939,-0.045,-0.0924,21.5,-0.0227,-0.4189,0,0,0
4/1/19 0:00,21085,"Joppa, MD",,228725,0.0145,0.0163,54,0.1489,-0.1,42.5,-0.1327,-0.0659,22,0.1,-0.3125,0,,,10,-0.375,-0.5,0,,,258432,0.0048,0.0274,54,0.1489,-0.1,0,0,0
4/1/19 0:00,21087,"Kingsville, MD",,591502.25,-0.014,-0.0205,23.5,0.175,-0.0208,97.5,0.2188,0.2188,8,0,0,0,,,2,-0.5,-0.5,0,,,571224,-0.0424,-0.0804,23.5,0.175,-0.0208,0,0,0
4/1/19 0:00,21090,"Linthicum Heights, MD",,347425,0.0943,0.0688,27.5,0.0185,-0.1667,27.5,-0.3889,-0.2763,26,0.0833,0.3,0,,,10,1.5,-0.1667,0,,,361592,0.0911,0.0973,27.5,0.0185,-0.1667,0,0,0
4/1/19 0:00,21093,"Lutherville Timonium, MD",*,407475,0.0449,-0.0413,157,0.1377,0.246,45.75,-0.3068,,74,0.0278,-0.119,2,-0.5,,64,0.2308,0.4545,0,,,601570,0.0265,-0.073,157,0.1377,0.246,0,0,0
4/1/19 0:00,21102,"Manchester, MD",*,425172.5,0.0116,0.2244,43.5,-0.0114,-0.1635,69,0.0781,,12,0,-0.5,0,,,12,0,0,0,,,461621,0.0296,0.1887,43.5,-0.0114,-0.1635,0,0,0
4/1/19 0:00,21104,"Marriottsville, MD",,671275,0.0748,-0.0512,26,0.3,0.5294,36,-0.4783,0.3585,18,1.25,1.25,0,,,8,,1,0,,,590720,0.0309,-0.0946,26,0.3,0.5294,0,0,0
4/1/19 0:00,21108,"Millersville, MD",,508850,0.0386,0.0492,56,0.037,-0.1765,44.5,-0.2583,0.141,28,0.1667,-0.2222,2,,-0.5,16,-0.2,-0.2,0,,,555967,0.0306,0.0394,56,0.037,-0.1765,0,0,0
